"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACMI",58,5,13,"Yes","Unavg","Mod.4",0,0.283783310010542,0.081405950572023,-3.19458313229915,NA,NA,NA,NA,NA,1.9067288439925,0.361369788242927,NA,NA,NA,NA
"ACMI",58,5,13,"Yes","Unavg","Mod.5",1.99765155131682,0.104520704227039,0.0814240178116278,-3.19464659508273,-0.187090139019394,NA,NA,NA,NA,1.90499956944038,0.362096510708498,NA,NA,NA,NA
"ACMI",58,5,13,"Yes","Avg",NA,NA,NA,NA,-3.35827289644831,-7.22725138854758,-3.49167936827704,0,0,0,2.05337786919342,-0.142717655232091,4.28069716702118,25.2002876192853,1.74526638283545,-2.02266502906384
"ARUV",58,27,19,"Yes","Unavg","Mod.1",0.490369759749967,0.308387474532421,0.0449672059204255,-1.60662157114939,-8.93633065679759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",58,27,19,"Yes","Unavg","Mod.15",0.562004854589873,0.297537265429162,0.0862811756677292,-1.66883209236222,-18.1176551983072,-6.3795301518996,NA,NA,NA,-0.452883970533771,-0.126142040656459,4.46464111999878,17.9620686089097,NA,NA
"ARUV",58,27,19,"Yes","Unavg","Mod.3",0,0.394075260038417,0.0553301470388,-1.66809236617498,-10.92096975185,-4.7219527847664,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",58,27,19,"Yes","Avg",NA,NA,NA,NA,-1.64935563904646,-12.4502140213612,-3.75895272766504,0,0,0,-0.134749858149319,-0.037531957832577,1.32839710996703,5.34438477534597,0,0
"CARU",58,28,15,"Yes","Unavg","Mod.3",1.63936205978408,0.305831372587219,0.0761274198139196,-1.86512267207498,-11.580849632512,-11.4255783917474,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",58,28,15,"Yes","Unavg","Mod.7",0,0.694168627412781,0.100538291259973,-1.53082152240597,-11.78758159345,-12.0758674587947,NA,NA,NA,-0.466719283086981,-0.928641169319288,NA,NA,NA,NA
"CARU",58,28,15,"Yes","Avg",NA,NA,NA,NA,-1.63306130186673,-11.7243564740786,-11.8769886608412,0,0,0,-0.323981884127567,-0.64463356586537,0,0,0,0
"CEVE",58,23,20,"Yes","Unavg","Mod.15",0,1,0.184746778088102,-2.34165207803156,-22.9670877945196,-23.2037927954294,NA,NA,NA,1.33379229880218,-0.643405660870705,6.89677465466706,34.4012957335572,NA,NA
"CEVE",58,23,20,"Yes","Avg",NA,NA,NA,NA,-2.34165207803156,-22.9670877945196,-23.2037927954294,0,0,0,1.33379229880218,-0.643405660870705,6.89677465466706,34.4012957335572,0,0
"EPAN",58,6,15,"Yes","Unavg","Mod.7",0,1,0.133474828084077,-3.29607852461157,-11.0076591395818,-10.6264894441069,NA,NA,NA,2.08969761257883,0.319745731551346,NA,NA,NA,NA
"EPAN",58,6,15,"Yes","Avg",NA,NA,NA,NA,-3.29607852461157,-11.0076591395818,-10.6264894441069,0,0,0,2.08969761257883,0.319745731551346,0,0,0,0
"PAMY",58,67,64,"Yes","Unavg","Mod.3",0,1,0.0854131297951837,0.0311157215146395,-8.90925045055519,-8.37200257656261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",58,67,64,"Yes","Avg",NA,NA,NA,NA,0.0311157215146395,-8.90925045055519,-8.37200257656261,0,0,0,0,0,0,0,0,0
"VAME",58,23,43,"Yes","Unavg","Mod.15",0,0.662347946915797,0.179777582235479,-1.92815274090927,12.4590248453301,-17.0206494003565,NA,NA,NA,-0.639831341361575,1.18964051848361,24.179666766708,-3.87897209127741,NA,NA
"VAME",58,23,43,"Yes","Unavg","Mod.7",1.34755016183252,0.337652053084203,0.161402965206237,-1.90076992650616,12.4277895647301,-16.0327047085592,NA,NA,NA,0.333783783332811,1.13979663454199,NA,NA,NA,NA
"VAME",58,23,43,"Yes","Avg",NA,NA,NA,NA,-1.91890687740683,12.4484781887068,-16.6870678468375,0,0,0,-0.311088195594684,1.17281062873703,16.0153526400372,-2.56922920080127,0,0
"ACMI",59,5,14,"Yes","Unavg","Mod.13",0,0.526402430826162,0.118614238787945,-3.31440675897303,-8.26094134932656,NA,NA,NA,NA,1.83817894354691,0.231615186018863,6.52653149746572,28.2704313466272,NA,NA
"ACMI",59,5,14,"Yes","Unavg","Mod.15",0.211416093862539,0.473597569173838,0.131855952611968,-3.44289448627865,-11.9510627005282,-6.59193905965904,NA,NA,NA,2.03576750323123,0.0228315203169696,8.22053444410624,39.7011932889395,NA,NA
