"","NAME","Plot.Name.1980","Plot.Name.2015","Longitude","Latitude"
"1.49","North Cascades","6030","Copp6030",-121.40054,48.94621
"1.50","North Cascades","6026","Copp6026",-121.40733,48.9534
"1.51","North Cascades","6014","Copp6014",-121.46302,48.9076
"1.52","North Cascades","6002","Copp6002",-121.46986,48.90329
"1.53","North Cascades","6010","Copp6010",-121.49453,48.89532
"1.54","North Cascades","6042","Copp6042",-121.51527,48.89274
"1.55","North Cascades","6035","What6035",-121.34833,48.87284
"1.56","North Cascades","6037","What6037",-121.34332,48.87289
"1.57","North Cascades","6039","What6039",-121.33745,48.87308
"1.58","North Cascades","6043","What6043",-121.30578,48.88714
"1.59","North Cascades","6041","What6041",-121.31555,48.88044
"1.60","North Cascades","6005","What6005",-121.33459,48.88865
"1.61","North Cascades","6003","What6003",-121.3373,48.88726
"1.62","North Cascades","6001","What6001",-121.34425,48.88748
"1.63","North Cascades","6007","What6007",-121.34993,48.88642
"1.64","North Cascades","6009","What6009",-121.35005,48.88488
"1.65","North Cascades","6048","Copp6048",-121.55752,48.89453
"2.53","East Cascades","5132","Goode5132",-120.88466,48.44714
"2.54","East Cascades","5130","Goode5130",-120.8839,48.44747
"2.55","East Cascades","5138","Goode5138",-120.8839,48.44714
"2.56","East Cascades","5140","Goode5140",-120.88313,48.44365
"2.57","East Cascades","5109","Cas5109",-120.6687,48.4919
"1.66","North Cascades","5101","Cas5101",-121.06032,48.49847
"1.67","North Cascades","5107","Cas5107",-121.06613,48.49356
"1.68","North Cascades","5105","Cas5105",-121.06392,48.4964
"1.69","North Cascades","5103","Cas5103",-121.06086,48.4987
"2.58","East Cascades","2033","Ste2033",-120.59884,48.31768
"2.59","East Cascades","2031","Ste2031",-120.60249,48.31793
"2.60","East Cascades","2029","Ste2029",-120.61086,48.31281
"2.61","East Cascades","2027","Ste2027",-120.61115,48.31221
"2.62","East Cascades","2039","Ste2039",-120.62097,48.30794
"2.63","East Cascades","2078","Ste2078",-120.82996,48.39578
"2.64","East Cascades","2062","Ste2062",-120.82951,48.39609
"2.65","East Cascades","2060","Ste2060",-120.82497,48.39742
"2.66","East Cascades","2058","Ste2058",-120.82293,48.39753
"2.67","East Cascades","2056","Ste2056",-120.82353,48.39842
"2.68","East Cascades","2054","Ste2054",-120.82305,48.39878
"2.69","East Cascades","2035","Ste2035",-120.58569,48.33444
"2.70","East Cascades","2037","Ste2037",-120.58442,48.33315
"2.71","East Cascades","2025","Ste2025",-120.58418,48.35031
"1.70","North Cascades","1017","Pyra1017",-121.12446,48.68673
"1.71","North Cascades","1015","Pyra1015",-121.12418,48.68715
"1.72","North Cascades","1013","Pyra1013",-121.12289,48.68825
"1.73","North Cascades","1011","Pyra1011",-121.12064,48.69214
"1.74","North Cascades","1019","Pyra1019",-121.12296,48.69408
"1.75","North Cascades","1045","July1045",-121.0425,48.66012
"1.76","North Cascades","1039","July1039",-121.04959,48.66462
"1.77","North Cascades","1034","July1034",-121.05739,48.6674
"1.78","North Cascades","1037","July1037",-121.04887,48.66322
"1.79","North Cascades","1035","July1035",-121.04678,48.6621
"1.80","North Cascades","1041","July1041",-121.04605,48.66158
"1.81","North Cascades","3041","Ross3041",-121.00839,48.8299
"1.82","North Cascades","3039","Ross3039",-121.01568,48.8364
"1.83","North Cascades","3037","Ross3037",-121.00806,48.84842
"1.84","North Cascades","3023","Ross3023",-121.01784,48.87342
"1.85","North Cascades","3019","Ross3019",-120.99147,48.88211
"1.86","North Cascades","8024","Mono8024",-121.29907,48.54833
"1.87","North Cascades","8023","Mono8023",-121.30226,48.56049
"1.88","North Cascades","8022","Mono8022",-121.29137,48.55731
"1.89","North Cascades","8021","Mono8021",-121.28415,48.55713
"1.90","North Cascades","8019","Mono8019",-121.2798,48.55326
"1.91","North Cascades","8020","Mono8020",-121.27805,48.55142
"2.72","East Cascades","5003","Mcal5003",-120.69478,48.45068
"1.92","North Cascades","7128","Thun7128",-121.06243,48.66071
"1.93","North Cascades","7127","Thun7127",-121.05155,48.63913
"1.94","North Cascades","7125","Thun7125",-121.05395,48.61922
"1.95","North Cascades","7126","Thun7126",-121.05603,48.61836
"1.96","North Cascades","7124","Thun7124",-121.04866,48.60523
"1.97","North Cascades","7122","Thun7122",-121.02247,48.56388
"1.98","North Cascades","7121","Thun7121",-121.02214,48.56771
"1.99","North Cascades","7120","Thun7120",-121.02377,48.57509
"1.100","North Cascades","7119","Thun7119",-121.02555,48.58366
"1.101","North Cascades","7118","Thun7118",-121.02094,48.5825
"1.102","North Cascades","7123","Thun7123",-121.01912,48.58537
"2.73","East Cascades","5004","McAl5004",-120.69453,48.45124
"2.74","East Cascades","5005","McAl5005",-120.67679,48.43281
"2.75","East Cascades","5006","McAl5006",-120.67686,48.42979
"2.76","East Cascades","5007","McAl5007",-120.67588,48.42715
"2.77","East Cascades","5139","Casc5139",-121.01138,48.45928
"2.78","East Cascades","5125","Horse5125",-121.02059,48.47201
"2.79","East Cascades","5123","Casc5123",-121.0283,48.4664
"2.80","East Cascades","5121","Casc5121",-121.04269,48.46676
"2.81","East Cascades","5119","Casc5119",-121.04328,48.46488
"2.82","East Cascades","5117","Casc5117",-121.04825,48.46317
"1.103","North Cascades","1031","July1031",-121.04185,48.6544
"1.104","North Cascades","1026","July1026",-121.03471,48.65032
"1.105","North Cascades","1032","July1032",-121.0338,48.65094
"1.106","North Cascades","1024","July1024",-121.03748,48.65275
"1.107","North Cascades","6057","Beav6057",-121.25127,48.87779
"1.108","North Cascades","6055","Beav6055",-121.25349,48.88083
"1.109","North Cascades","6051","Beav6051",-121.26849,48.89101
"1.110","North Cascades","6047","Beav6047",-121.27167,48.8933
"1.111","North Cascades","6049","Beav6049",-121.26807,48.89331
"1.112","North Cascades","3022","Ross3022",-121.15659,48.9218
"1.113","North Cascades","3024","Ross3024",-121.15576,48.92141
"1.114","North Cascades","3020","Ross3020",-121.16106,48.92058
"1.115","North Cascades","3018","Ross3018",-121.15568,48.92122
"1.116","North Cascades","3006","Ross3006",-121.09679,48.91781
"1.117","North Cascades","3026","Ross3026",-121.14162,48.92136
"1.118","North Cascades","3016","Ross3016",-121.10633,48.9172
"1.119","North Cascades","3012","Ross3012",-121.07735,48.91705
"1.120","North Cascades","3014","Ross3014",-121.07681,48.91736
"1.121","North Cascades","3008","Ross3008",-121.07402,48.91623
"1.122","North Cascades","4010","Thor4010",-121.32869,48.68085
"1.123","North Cascades","4014","Thor4014",-121.32074,48.67732
"1.124","North Cascades","4012","Thor4012",-121.32384,48.68068
"1.125","North Cascades","4016","Thor4016",-121.32145,48.66666
"1.126","North Cascades","4006","Thor4006",-121.33701,48.68591
"1.127","North Cascades","4004","Thor4004",-121.33447,48.68776
"1.128","North Cascades","4008","Thor4008",-121.33226,48.6832
"1.129","North Cascades","4002","Thor4002",-121.33109,48.68187
"2.83","East Cascades","2018","Ste2018",-120.69135,48.37986
"2.84","East Cascades","2080","Ste2080",-120.83212,48.3924
"2.85","East Cascades","2016","Ste2016",-120.69814,48.38044
"2.86","East Cascades","2014","Ste2014",-120.70271,48.37906
"2.87","East Cascades","2012","Ste2012",-120.70233,48.37606
"2.88","East Cascades","2008","Ste2008",-120.70165,48.37139
"2.89","East Cascades","2006","Ste2006",-120.70596,48.36919
"2.90","East Cascades","2028","Ste2028",-120.68579,48.37632
"2.91","East Cascades","2026","Ste2026",-120.68607,48.37557
"2.92","East Cascades","2026","Supp2026",-120.68604,48.37437
"2.93","East Cascades","2034","Ste2034",-120.68585,48.37868
"2.94","East Cascades","2030","Ste2030",-120.68374,48.38674
"2.95","East Cascades","2032","Ste2032",-120.68473,48.38987
"2.96","East Cascades","2019","Ste2019",-120.58188,48.35442
"2.97","East Cascades","2017","Ste2017",-120.59695,48.36385
"2.98","East Cascades","2005","Ste2005",-120.61331,48.36243
"2.99","East Cascades","2023","Ste2023",-120.5808,48.35408
"2.100","East Cascades","2021","Ste2021",-120.58168,48.35262
"2.101","East Cascades","2007","Ste2007",-120.61741,48.36718
"2.102","East Cascades","2015","Ste2015",-120.60986,48.36881
"2.103","East Cascades","2011","Ste2011",-120.61545,48.37393
"2.104","East Cascades","2013","Ste2013",-120.61372,48.37562
"2.105","East Cascades","2009","Ste2009",-120.61662,48.3763
"1.130","North Cascades","3025","Ross3025",-121.01708,48.90065
"1.131","North Cascades","3027","Ross3027",-121.02226,48.9007
"1.132","North Cascades","3029","Ross3029",-121.02557,48.89954
"1.133","North Cascades","3031","Ross3031",-121.04541,48.89764
"1.134","North Cascades","3043","Ross3043",-121.02163,48.8357
"1.135","North Cascades","3035","Ross3035",-121.01739,48.86139
"1.136","North Cascades","3021","Ross3021",-120.9936,48.88239
"1.137","North Cascades","3017","Ross3017",-120.98036,48.89509
"1.138","North Cascades","1055","Ruby1055",-121.03541,48.66846
"1.139","North Cascades","1057","Ruby1057",-121.03624,48.67132
"1.140","North Cascades","1063","Ruby1063",-121.03446,48.67918
"1.141","North Cascades","1061","Ruby1061",-121.03532,48.67713
"1.142","North Cascades","1059","Ruby1059",-121.03297,48.67621
"1.143","North Cascades","1020","July1020",-121.02513,48.66451
"1.144","North Cascades","1022","July1022",-121.02724,48.66266
"1.145","North Cascades","1049","Ruby1049",-121.07337,48.6632
"1.146","North Cascades","1053","Ruby1053",-121.03342,48.66681
"1.147","North Cascades","1047","Ruby1047",-121.03204,48.66082
"1.148","North Cascades","1043","July1043",-121.03677,48.65983
"1.149","North Cascades","1029","July1029",-121.04126,48.65874
"1.150","North Cascades","1025","Pan1025",-120.99324,48.6868
"1.151","North Cascades","1027","Pan1027",-120.99557,48.68511
"1.152","North Cascades","1016","Pan1016",-121.00102,48.68187
"1.153","North Cascades","1018","Pan1018",-121.00235,48.68133
"1.154","North Cascades","1021","Pan1021",-120.99019,48.68642
"1.155","North Cascades","1023","Pan1023",-120.98517,48.69059
"1.156","North Cascades","1012","Pyra1012",-121.13745,48.69226
"1.157","North Cascades","1010","Pyra1010",-121.13733,48.6923
"1.158","North Cascades","1014","Pyra1014",-121.12965,48.69837
"1.159","North Cascades","4015","Sour4015",-121.11538,48.74437
"1.160","North Cascades","4017","Sour4017",-121.1217,48.74695
"1.161","North Cascades","4011","Sour4011",-121.08366,48.74855
"1.162","North Cascades","4009","Sour4009",-121.08408,48.7465
"1.163","North Cascades","4007","Sour4007",-121.08731,48.74123
"1.164","North Cascades","4005","Sour4005",-121.07408,48.7436
"1.165","North Cascades","4027","Sour4027",-121.11469,48.74316
"1.166","North Cascades","4031","Sour4031",-121.12273,48.74338
"1.167","North Cascades","4003","Sour4003",-121.07439,48.74237
"1.168","North Cascades","4025","Sour4025",-121.14841,48.76373
"1.169","North Cascades","4023","Sour4023",-121.14719,48.76236
"1.170","North Cascades","4035","Sour4035",-121.13556,48.72837
"1.171","North Cascades","4033","Sour4033",-121.13007,48.73644
"1.172","North Cascades","4029","Sour4029",-121.12817,48.74168
"1.173","North Cascades","4019","Sour4019",-121.13447,48.75153
"1.174","North Cascades","4021","Sour4021",-121.14568,48.76143
"1.175","North Cascades","3010","Ross3010",-121.07533,48.91579
"1.176","North Cascades","6069","Beav6069",-121.21436,48.84616
"1.177","North Cascades","1033","July1033",-121.03943,48.65289
"2.106","East Cascades","5009","McAl5009",-120.6629,48.42371
"2.107","East Cascades","5008","MCAL5008",-120.66248,48.4254
"2.108","East Cascades","5010","McAl5010",-120.66102,48.42479
