"Elevation.m","Elevation.m.poly","Elevation.m2","Elevation.m2.poly"
617,-0.037701237441078,0.0110457728451631,0.0110457728451631
457,-0.0499831414426138,0.046384913585467,0.046384913585467
594,-0.0394667611412988,0.015567650153523,0.015567650153523
518,-0.0453006655420283,0.0318422019823799,0.0318422019823799
671,-0.0335560948405597,0.00116568144064525,0.00116568144064525
594,-0.0394667611412988,0.015567650153523,0.015567650153523
381,-0.0558170458433433,0.0663479382102036,0.0663479382102036
721,-0.0297179998400797,-0.00706149589862792,-0.00706149589862792
948,-0.0122930485379008,-0.0332753723302937,-0.0332753723302937
719,-0.0298715236400989,-0.00674941290553743,-0.00674941290553743
1137,0.00221495056391333,-0.041174664457901,-0.041174664457901
686,-0.0324046663404157,-0.00139546293563905,-0.00139546293563905
1218,0.00843266446469083,-0.0406863287290349,-0.0406863287290349
746,-0.0277989523398398,-0.0108429732307561,-0.0108429732307561
1264,0.0119637118651324,-0.0393742319010755,-0.0393742319010755
793,-0.0241911430393886,-0.017352756073222,-0.017352756073222
827,-0.0215812384390623,-0.0215741555501331,-0.0215741555501331
976,-0.0101437153376321,-0.0352441220490735,-0.0352441220490735
759,-0.026801047639715,-0.0127218411764072,-0.0127218411764072
1008,-0.0076873345373249,-0.0371540397180703,-0.0371540397180703
690,-0.0320976187403773,-0.00206497318976786,-0.00206497318976786
1321,0.0163391401656795,-0.036708465768163,-0.036708465768163
742,-0.0281059999398782,-0.010252815445536,-0.010252815445536
1489,0.0292351393672921,-0.0221561062859363,-0.0221561062859363
746,-0.0277989523398398,-0.0108429732307561,-0.0108429732307561
1064,-0.00338866813678737,-0.0396235184808194,-0.0396235184808194
1189,0.00620656936441247,-0.0411282710560214,-0.0411282710560214
1459,0.0269322823670041,-0.025488043740981,-0.025488043740981
1274,0.0127313308652284,-0.0389898028740789,-0.0389898028740789
706,-0.0308694283402237,-0.00468633387134832,-0.00468633387134832
1039,-0.00530771563702734,-0.0386583452907623,-0.0386583452907623
981,-0.00975990583758407,-0.0355664587011548,-0.0355664587011548
378,-0.0560473315433721,0.0671779312131884,0.0671779312131884
971,-0.0105275248376801,-0.0349129290946586,-0.0349129290946586
1053,-0.00423304903689296,-0.0392261196883816,-0.0392261196883816
396,-0.0546656173431993,0.0622457972278804,0.0622457972278804
1122,0.00106352206376935,-0.0410100354930772,-0.0410100354930772
1075,-0.00254428723668179,-0.0399780527699628,-0.0399780527699628
1127,0.00144733156381735,-0.0410737681170187,-0.0410737681170187
589,-0.0398505706413468,0.0165754646062216,0.0165754646062216
1282,0.0133454260653051,-0.038656753501761,-0.038656753501761
1345,0.0181814257659099,-0.0352417048879975,-0.0352417048879975
1413,0.0234012349665626,-0.0299777818462206,-0.0299777818462206
1582,0.0363739960681848,-0.00980095532742656,-0.00980095532742656
1656,0.0420543766688951,0.00221894868991295,0.00221894868991295
1753,0.0495002809698262,0.020912758556884,0.020912758556884
838,-0.0207368575389567,-0.0228522250466198,-0.0228522250466198
865,-0.0186642862386975,-0.0258075733959298,-0.0258075733959298
982,-0.00968314393757447,-0.0356298632752911,-0.0356298632752911
1340,0.0177976162658619,-0.0355641070457991,-0.0355641070457991
1766,0.0504981856699509,0.0236714047651766,0.0236714047651766
1502,0.0302330440674169,-0.0206132532619944,-0.0206132532619944
1669,0.0430522813690199,0.00453088300850089,0.00453088300850089
1551,0.0339943771678872,-0.0142597752419651,-0.0142597752419651
1504,0.0303865678674361,-0.0203705774769109,-0.0203705774769109
1569,0.03537609136806,-0.0117122305284444,-0.0117122305284444
1553,0.0341479009679064,-0.013982382751734,-0.013982382751734
1425,0.0243223777666778,-0.0288788132458086,-0.0288788132458086
1601,0.0378324721683671,-0.0068998604741783,-0.0068998604741783
1349,0.0184884733659483,-0.0349774066240761,-0.0349774066240761
1546,0.0336105676678392,-0.0149470570559092,-0.0149470570559092
1214,0.00812561686465243,-0.040764998896045,-0.040764998896045
1775,0.0511890427700373,0.0256163077127738,0.0256163077127738
872,-0.0181269529386303,-0.0265316188207172,-0.0265316188207172
1802,0.0532616140702965,0.0316231830729299,0.0316231830729299
