"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"HODI",1,17,10,"No","Global_unavg",0.172043555711588,-4.45840841677947,-66.8236241586891,-21.4935353761448,-2.31983662097713,-46.7240822971358,NA,1.03815502563275e-06,0.027901219859511,0.163498446053761,0.0705252022587721,0.130703114368949,NA,-6.88379673349982,-145.712500739702,-58.8035242107334,-5.19385364850052,NA,NA,-3.18935549621318,-24.3381945586732,2.56599832463519,-0.125800692688728,NA,NA
"LIBO",1,48,67,"No","Global_unavg",0.209756416340407,-3.55549734297585,-77.30846238236,-42.8461554178471,0.150207305367193,-12.004836203131,-0.913379990890431,4.13963720686421e-09,0.000146997264742207,0.000667693640452542,0.858561164206656,0.673677690055322,0.957253263500945,-4.96857615585846,-124.191320828405,-70.8761354884568,-1.52843576932846,-68.6149499474416,-34.2261210809226,-2.57647208940294,-43.9146812210049,-21.2265004317454,1.87796376096107,45.9844163707275,33.6670005553468
"MANE",1,61,57,"No","Global_unavg",0.260979668778169,-4.7014521019283,-128.795821832298,-53.0814531921212,-0.0410705891927783,1.76222708530388,1.11418248037274,1.22778640011452e-06,5.95534698801422e-05,0.000680159463073799,0.976401953426488,0.969394529115743,0.960209874730648,-6.926722053016,-201.541270727061,-87.5909654079876,-2.86106067970974,-91.0311988030736,-43.615818016326,-3.11711696903229,-75.5775680298124,-26.1078537578246,2.74144768107365,93.453944145957,45.4452939876406
"MEFE",1,26,12,"No","Global_unavg",0.0692406975871295,-2.61930086176514,7.07833882444437,-4.88207782983459,-1.81772403388315,19.1326307953303,-42.3744224051078,3.79319410863061e-35,0.236783370154324,0.41352596802068,0.0131595583486811,0.279463060678631,0.0339834974952772,-3.06499471676916,-4.484403201034,-17.4923599106835,-3.64996042636773,-12.2726549803767,-89.3327707847641,-2.22930958001118,19.4307710239127,6.11394872164853,-0.647188911721852,60.3583287241381,-8.91421921191442
"OPHO",1,29,16,"No","Global_unavg",0.127616014971993,-3.14102964885332,-39.2098281640495,-3.40140684445931,-0.753587042251452,-0.378889978846384,-29.4733425343658,3.12491690807193e-15,0.0032915690649652,0.678764606986949,0.289073302175377,0.987104037002542,0.0950701955723535,-4.15794841138433,-73.3756750219282,-22.1607324807601,-2.3985706190282,-53.4413654104764,-69.1952846787611,-2.50975458785898,-18.9130661647782,10.7876199099177,0.607255603428885,45.0542648023531,2.167734807639
"POMU",1,20,10,"No","Global_unavg",0.190959024929853,-3.89135385448652,-44.5705289575568,5.0894437837117,-0.939753316403802,-12.3029594711143,-14.090861301817,2.43467944057984e-10,0.0238389559346642,0.62288620467908,0.468901917733823,0.77357725707725,0.505524353677425,-5.7407428946867,-103.837120975443,-21.060222417104,-4.77345645133528,-135.078107538193,-67.8904113721216,-3.01702419262235,-18.6239080488921,22.0789026405535,1.4252176348575,64.4966563344617,23.4123411642519
"PTAQ",1,47,22,"No","Global_unavg",0.103110156810825,-2.45716409021585,-35.9191549184041,-16.9279011203805,-0.587529498570798,13.331031448137,3.0269002334847,3.72999480484089e-18,0.000224449242316174,0.0190139007172204,0.161539950415297,0.348339144441997,0.790819518179675,-3.10819197972892,-58.3203149991759,-32.6521879272028,-1.46166458195237,-16.2889113266562,-20.5678256173905,-1.97570528261265,-19.5832666518692,-4.11772574733545,0.249691912592885,41.7097551274579,25.052494173905
"RULA",1,18,13,"No","Global_unavg",0.187900524600347,-5.77909051046125,88.5360104421256,-70.4027791484838,0.665015791558438,-23.8753661656008,22.2320898867664,1.25902990429155e-05,0.00763644881850874,0.00459740263592734,0.698091989229515,0.585281676031479,0.494962452833345,-9.09776397128848,38.2353232251704,-130.003333622129,-2.87714457263413,-117.247593849533,-43.5287428115806,-3.82853667108074,170.119064213929,-31.3064161738764,4.3998406470748,66.3458842159158,91.1008873998952
"RUPA",1,33,21,"No","Global_unavg",0.115292026652565,-3.53037638591147,-54.8894061731184,-43.7824649401872,0.233659616413389,22.8940287224073,25.909093530322,7.17982168409565e-11,0.00183987006324807,0.00120942289175331,0.728172075762305,0.303263772815741,0.129469891664497,-4.81838229128759,-96.1421840110263,-74.2809593658562,-1.08399919407475,-21.1998759465954,-7.32535433425415,-2.66273495394352,-26.2974544476976,-20.8539180422184,1.68267855891936,69.9131086927789,61.3529601214788
"RUPE",1,23,23,"No","Global_unavg",0.0501015433818608,-2.98859166805855,13.8931245476271,-20.400871347936,0.0761803854458695,-14.9472581812195,-0.311264870982309,1.38019848370911e-25,0.0886753941671716,0.0165593861063491,0.84528531719042,0.187552152162244,0.979618362848653,-3.63103650461861,-1.37361936491858,-39.0374216176719,-0.695853879712213,-38.3574096278578,-24.6893204567723,-2.48841611500092,31.4358703046838,-5.33159834938389,0.870622389807517,6.73402165068588,23.8669900006363
"RUSP",1,15,20,"No","Global_unavg",0.0629867116568699,-3.54010348071509,-26.532008038821,-0.747658063189479,0.405819818913714,3.5309866975097,-9.73359201287414,1.60521169732324e-19,0.0354287545598352,0.933872893154152,0.422009810694735,0.8306865210939,0.438850875710917,-4.53670030040946,-59.8624071955941,-21.5922655055996,-0.588791232750182,-29.0683443355346,-34.903618134087,-2.89729247266359,-7.12486818857028,14.8721406988395,1.53218899931134,41.0660332348432,15.9855383655193
