ID1,MAT.diff,MAP.diff.raw,MAP.diff.perc,PAS.diff.raw,PAS.diff.perc,Tsum.diff,Twin.diff,Psum.diff,Psum.diff.perc
Ross3020,1.8999999999999995,-32,-1.3394725826705736,-281,-41.44542772861357,4.699999999999999,1.5999999999999999,-204,-51
Sour4003,1.9000000000000004,-54,-2.5924147863658185,-255,-51.41129032258065,4.800000000000001,1.9,-156,-56.317689530685925
Bac208,2,25,1.0460251046025104,-125,-58.139534883720934,4.699999999999999,1.7999999999999998,-203,-54.42359249329759
Cari280,2.1000000000000005,-185,-6.357388316151202,-621,-43.125,4.999999999999998,2.2,-221,-52.61904761904762
Easy456,2.0999999999999996,-230,-10.931558935361217,-460,-40.139616055846425,5.000000000000002,2.1,-174,-57.615894039735096
