"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"LIBO",6,48,66,"No","Avg.Confidence",-4.62210831504517,-113.122326413456,-60.7831348159926,-0.335040200202324,-23.6467936731978,NA,NA,NA,NA,NA,NA,NA,-2.79626476292708,-53.0026658644929,-26.9095001943062,0.98656531273247,14.5235301735688,NA,NA,NA,NA,NA,NA,NA
"MANE",6,61,56,"No","Avg.Confidence",-5.91005841609362,-167.262124498105,-72.3052228345132,-0.296243324835581,NA,NA,NA,NA,NA,NA,NA,NA,-3.26323764660571,-79.906893654357,-29.4669138072798,0.226210794020294,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",6,26,13,"No","Avg.Confidence",-3.06499471676916,-4.48440320103401,-17.4923599106836,-3.69669886563323,-12.639158047283,-94.6620205953586,NA,NA,NA,NA,NA,NA,-2.22930958001118,19.4307710239128,6.11394872164853,-0.650900948495748,58.8591699527795,-12.4837529390001,NA,NA,NA,NA,NA,NA
"OPHO",6,29,15,"No","Avg.Confidence",-4.15794841138433,-73.3756750219282,-22.1607324807601,-3.00663156097434,-66.2303409256989,-86.0568099332,NA,NA,NA,NA,NA,NA,-2.50975458785898,-18.9130661647781,10.7876199099177,0.408972636600106,42.6999662690744,-3.51738558871784,NA,NA,NA,NA,NA,NA
"PAMY",6,127,104,"Yes","Avg.Confidence",-0.923766819613859,-15.8052347982502,-14.8388151436339,NA,NA,NA,-0.0546006721737641,-0.749882907559397,NA,NA,NA,NA,-0.476762887659376,-5.9168550121645,-4.92079901080085,NA,NA,NA,1.38172947865098,-0.08491021686694,NA,NA,NA,NA
"POMU",6,20,8,"No","Avg.Confidence",-5.06669622970042,-78.2592667877968,-8.51378268016625,-2.16265223662592,-20.1515390313838,NA,NA,NA,NA,NA,NA,NA,-3.03326721850005,-24.9821884623016,9.06152513705637,0.189794534216938,21.7539256042415,NA,NA,NA,NA,NA,NA,NA
"PTAQ",6,47,20,"No","Avg.Confidence",-2.84634924276687,-47.8323402225282,-26.4367908084956,-1.5128298996883,-13.5447400504316,NA,NA,NA,NA,NA,NA,NA,-1.89376130322303,-16.1463565289125,-4.44393998053854,-0.207234521256399,24.7916391429186,NA,NA,NA,NA,NA,NA,NA
"RULA",6,18,16,"No","Avg.Confidence",-7.33652323422699,38.1441735114928,-99.0796126153244,-0.435235484947233,NA,NA,NA,NA,NA,NA,NA,NA,-3.81513206985613,126.419167178986,-32.5022213841397,0.360501451659627,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",6,33,21,"No","Avg.Confidence",-4.17067140723032,-75.0426020209346,-58.2239884844171,-1.30090367668065,-29.1851394290102,-24.1157537922177,NA,NA,NA,NA,NA,NA,-2.33191685778191,-15.2613297722266,-7.44015345511765,1.01445354115517,44.4741152544768,45.8621998103574,NA,NA,NA,NA,NA,NA
"RUPE",6,23,21,"No","Avg.Confidence",-3.38603552410904,-6.6403340876005,-31.340604800493,-0.457766607136191,-23.3581373230326,NA,NA,NA,NA,NA,NA,NA,-2.51151840608212,21.7492345906368,-7.42847418573311,0.40844911780725,14.4391701960087,NA,NA,NA,NA,NA,NA,NA
