"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ARUV",21,42,28,"Yes","Unavg","Mod.15",0,0.452145158404135,0.0516994774834142,-2.12619721277471,0.00183220367085852,-1.4930651698363e-06,NA,NA,NA,-0.0648391304975811,-2.04485412209716,0.000639424631023334,0.00146508118153036,NA,NA
"ARUV",21,42,28,"Yes","Unavg","Mod.5",1.92266512537412,0.172892620752813,0.0345769171720935,-1.18420522139965,-0.000838417388942939,NA,NA,NA,NA,0.41957383582312,-0.596234055428954,NA,NA,NA,NA
"ARUV",21,42,28,"Yes","Unavg","Mod.7",0.374355997421162,0.374962220843052,0.0422455660528848,-2.47246929048145,0.00201222230164949,-1.31390732894621e-06,NA,NA,NA,0.515012505283828,-0.606573430968573,NA,NA,NA,NA
"ARUV",21,42,28,"Yes","Avg",NA,NA,NA,NA,-2.09317269593057,0.0014379731823863,-1.16774779776696e-06,0,0,0,0.236334753888323,-1.25509748015452,0.000289112751081551,0.000662429362897961,0,0
"ATFI",21,24,30,"No","Unavg","Mod.2",1.86297042616513,0.203579205671205,0.0668912898709532,-0.91104810146653,-0.00170206379929982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATFI",21,24,30,"No","Unavg","Mod.6",0,0.516740264901796,0.0768934841235064,-2.41508278111181,0.00193400364645498,-1.84629580819614e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATFI",21,24,30,"No","Unavg","Mod.7",1.22778474771587,0.279680529426999,0.0788929420809927,-2.54864898034761,0.00193717600701997,-1.84867110796399e-06,0.253397008830419,NA,NA,NA,NA,NA,NA,NA,NA
"ATFI",21,24,30,"No","Avg",NA,NA,NA,NA,-2.1462484610435,0.00119466317156364,-1.47109269922611e-06,0.0708702095849096,0,0,0,0,0,0,0,0
"CAME",21,32,29,"No","Unavg","Mod.6",0,0.709425583032567,0.384054355614509,-30.5397204309843,0.0299626484435875,-7.39867743602728e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",21,32,29,"No","Unavg","Mod.7",1.78519178511243,0.290574416967433,0.384564837593814,-30.478491123242,0.0299700434583315,-7.39983538155786e-06,-0.14325950000813,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",21,32,29,"No","Avg",NA,NA,NA,NA,-30.5219287605857,0.0299647972456852,-7.39901390537471e-06,-0.0416275456899083,0,0,0,0,0,0,0,0
"CARU",21,33,19,"Yes","Unavg","Mod.15",1.75752883821258,0.231505641292902,0.0737376318052041,-4.31921500102829,0.00553135260173743,-3.00939846266832e-06,NA,NA,NA,-0.612958376515407,-1.89332922802859,0.00148021569799113,0.000988199589022863,NA,NA
"CARU",21,33,19,"Yes","Unavg","Mod.31",1.9425787008492,0.211046673481111,0.0838842777784159,-3.60285653327252,0.00395704852729322,-2.25553863691441e-06,NA,NA,NA,0.218678574372464,-7.82668568993466,-0.000182558371200186,0.0130181278832039,6.41563993022595e-07,-5.55340429900647e-06
"CARU",21,33,19,"Yes","Unavg","Mod.7",0,0.557447685225988,0.0677733176819482,-4.60748488157487,0.00563891759988089,-2.83713930331932e-06,NA,NA,NA,0.896099527065607,-0.905596817070047,NA,NA,NA,NA
"CARU",21,33,19,"Yes","Avg",NA,NA,NA,NA,-4.32872530701947,0.00525906282300463,-2.75427338453383e-06,0,0,0,0.40377667073667,-2.59493522578,0.000304149947457328,0.002976206364284,1.35399946552677e-07,-1.17202750380101e-06
"CEVE",21,26,19,"Yes","Unavg","Mod.15",0.92483844745334,0.38641207389482,0.109308026664916,-6.10276639323299,0.00859897996600439,-4.38561800508748e-06,NA,NA,NA,0.147281388977221,-2.66614323962947,0.00146108632699935,0.00175345739968938,NA,NA
"CEVE",21,26,19,"Yes","Unavg","Mod.7",0,0.61358792610518,0.100232147879226,-6.52110331503363,0.00867632795354302,-4.07610538697449e-06,NA,NA,NA,1.63375882002251,-0.826380077480438,NA,NA,NA,NA
"CEVE",21,26,19,"Yes","Avg",NA,NA,NA,NA,-6.35945287749387,0.00864643975726663,-4.19570479963615e-06,0,0,0,1.05936599309446,-1.53728677644174,0.000564581397755182,0.000677557110300189,0,0
"CHUM",21,61,52,"No","Unavg","Mod.15",1.04730518543863,0.273530799287019,0.158162052549518,-4.39408636364784,0.0088794017579463,-5.44401055311262e-06,0.74006346036568,-0.0011730007254636,NA,NA,NA,NA,NA,NA,NA
"CHUM",21,61,52,"No","Unavg","Mod.6",0,0.461769948406989,0.153486436425595,-3.95272239880406,0.00807323568021024,-5.27955745578014e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
