"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"VAME",1,95,115,"Yes","Unavg",0.107230719234102,-1.26780153074721,11.854921144131,-23.2036355349706,NA,NA,NA,-2.50251590953927,0.399686949400734,60.7130399406007,-5.46119427325961,NA,NA
"VASI",1,24,28,"No","Unavg",0.175795586687565,-3.7487460581391,52.9771991258821,-15.8349895534966,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",10,72,59,"No","Unavg",0.247451810134537,-3.56451717905708,-93.6505727316294,-34.6849550793731,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",10,15,11,"No","Unavg",0.0581485437432793,-3.74514709804747,-29.6633630868471,-14.7976408102356,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",10,10,19,"Yes","Unavg",0.151651576195889,-3.76668347641652,-16.8931496732764,-10.3961335807585,NA,NA,NA,2.73666104050073,-0.610462494049351,13.2552001741094,60.6166469176027,NA,NA
"AMAL",10,42,44,"No","Unavg",0.107496565795509,-2.60353400146788,-38.0191855705606,-15.4247399024704,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",10,42,26,"Yes","Unavg",0.0514562467780065,-2.26133816904018,-20.7426553821146,-7.56868243981529,NA,NA,NA,0.317350306753061,-0.473495815490617,2.24201424532572,19.494271536465,NA,NA
"ATFI",10,24,28,"No","Unavg",0.0741063988730054,-3.00709398837005,-30.5659554075958,-11.796123726238,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",10,33,22,"Yes","Unavg",0.0553059834229278,-2.51206473886432,-12.6951887477847,-17.0339498972419,NA,NA,NA,0.681737324043764,-0.623378339957122,NA,NA,NA,NA
"CEVE",10,26,20,"Yes","Unavg",0.111709006947292,-2.86926860694506,-10.5875463107207,-23.954402375013,NA,NA,NA,1.81875499305179,-0.827628788604841,NA,NA,NA,NA
"CHUM",10,61,48,"No","Unavg",0.152093044961467,-2.39982518404495,-45.651755733399,-27.7031861252871,-0.699440990484827,-16.6815176544534,NA,NA,NA,NA,NA,NA,NA
"CLUN",10,44,51,"No","Unavg",0.145914939146801,-2.9028397633569,-45.1330109971381,-43.1335750588092,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",10,20,25,"No","Unavg",0.109408014952046,-3.66617416616449,-50.2809096161143,-21.4179151145792,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",10,18,26,"Yes","Unavg",0.0908602171591494,-3.07384057107758,-2.8609063266048,-13.8124937774609,NA,NA,NA,2.34896446642396,-0.0943250637247193,NA,NA,NA,NA
"GAOV",10,11,9,"No","Unavg",0.104469586430006,-4.46047623031669,-9.86232689894379,-48.1131155168773,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",10,21,22,"No","Unavg",0.183703695667978,-3.81399713933171,-47.6558747753563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",10,20,42,"No","Unavg",0.104549003755583,-3.38486971245554,-33.8175302096557,-16.5393643962361,0.843211850474643,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",10,17,21,"No","Unavg",0.060054984837782,-3.32245625850908,-27.5210184163649,-17.8680687835526,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",10,12,10,"No","Unavg",0.08338926632556,-3.94297334749842,-29.0127940403965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",10,17,7,"No","Unavg",0.157083146382407,-4.61451988122496,-71.2149062875795,-19.9607545300809,-0.941697634451655,NA,NA,NA,NA,NA,NA,NA,NA
"LIBO",10,48,69,"No","Unavg",0.210534466069706,-3.70850966785881,-83.1808176160301,-43.3366986808384,0.509110342821036,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",10,61,57,"No","Unavg",0.260595809590675,-4.66041774685409,-125.777090060979,-50.6480892125415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",10,26,12,"No","Unavg",0.0184463573071751,-2.57963390914452,NA,NA,-0.810390171918212,NA,NA,NA,NA,NA,NA,NA,NA
